Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
250,2017-01-11 10:00:00,0.000000,0.000000,0.000000,0.000000
251,2017-01-11 11:00:00,0.000000,0.000000,0.000000,0.000000
252,2017-01-11 12:00:00,0.000000,0.000000,0.000000,0.000000
253,2017-01-11 13:00:00,0.000000,0.000000,0.000000,0.000000
254,2017-01-11 14:00:00,0.000000,0.000000,0.000000,0.000000
255,2017-01-11 15:00:00,0.000000,0.000000,0.000000,0.000000
256,2017-01-11 16:00:00,0.000000,0.000000,0.000000,0.000000
257,2017-01-11 17:00:00,0.000000,0.000000,0.000000,0.000000
258,2017-01-11 18:00:00,0.000000,0.000000,0.000000,0.000000
259,2017-01-11 19:00:00,0.000000,0.000000,0.000000,0.000000
260,2017-01-11 20:00:00,0.000000,0.000000,0.000000,0.000000
261,2017-01-11 21:00:00,0.000000,0.000000,0.000000,0.000000
262,2017-01-11 22:00:00,0.000000,0.000000,0.000000,0.000000
263,2017-01-11 23:00:00,0.000000,0.000000,0.000000,0.000000
264,2017-01-12 00:00:00,0.000000,0.000000,0.000000,0.000000
265,2017-01-12 01:00:00,0.000000,0.000000,0.000000,0.000000
266,2017-01-12 02:00:00,0.000000,0.000000,0.000000,0.000000
267,2017-01-12 03:00:00,0.000000,0.000000,0.000000,0.000000
268,2017-01-12 04:00:00,0.000000,0.000000,0.000000,0.000000
269,2017-01-12 05:00:00,0.000000,0.000000,0.000000,0.000000
270,2017-01-12 06:00:00,0.000000,0.000000,0.000000,0.000000
271,2017-01-12 07:00:00,0.000000,0.000000,0.000000,0.000000
272,2017-01-12 08:00:00,0.000000,0.000000,0.000000,0.000000
273,2017-01-12 09:00:00,0.000000,0.000000,0.000000,0.000000
274,2017-01-12 10:00:00,0.000000,0.000000,0.000000,0.000000
275,2017-01-12 11:00:00,0.000000,0.000000,0.000000,0.000000
276,2017-01-12 12:00:00,0.000000,0.000000,0.000000,0.000000
277,2017-01-12 13:00:00,0.000000,0.000000,0.000000,0.000000
278,2017-01-12 14:00:00,0.000000,0.000000,0.000000,0.000000
279,2017-01-12 15:00:00,0.000000,0.000000,0.000000,0.000000
280,2017-01-12 16:00:00,0.000000,0.000000,0.000000,0.000000
281,2017-01-12 17:00:00,0.000000,0.000000,0.000000,0.000000
282,2017-01-12 18:00:00,0.000000,0.000000,0.000000,0.000000
283,2017-01-12 19:00:00,0.000000,0.000000,0.000000,0.000000
284,2017-01-12 20:00:00,0.000000,0.000000,0.000000,0.000000
285,2017-01-12 21:00:00,0.000000,0.000000,0.000000,0.000000
286,2017-01-12 22:00:00,0.000000,0.000000,0.000000,0.000000
287,2017-01-12 23:00:00,0.000000,0.000000,0.000000,0.000000
288,2017-01-13 00:00:00,0.000000,0.000000,0.000000,0.000000
289,2017-01-13 01:00:00,0.000000,0.000000,0.000000,0.000000
290,2017-01-13 02:00:00,0.000000,0.000000,0.000000,0.000000
291,2017-01-13 03:00:00,0.000000,0.000000,0.000000,0.000000
292,2017-01-13 04:00:00,0.000000,0.000000,0.000000,0.000000
293,2017-01-13 05:00:00,0.000000,0.000000,0.000000,0.000000
294,2017-01-13 06:00:00,0.000000,0.000000,0.000000,0.000000
295,2017-01-13 07:00:00,0.000000,0.000000,0.000000,0.000000
296,2017-01-13 08:00:00,0.000000,0.000000,0.000000,0.000000
