,time,preci,pet
2016-01-07 09:00:00,2016-01-07 09:00:00,0.00031282666666666674,7.725333333333332e-05
2016-01-07 10:00:00,2016-01-07 10:00:00,0.00019759999999999998,5.0973333333333335e-05
2016-01-07 11:00:00,2016-01-07 11:00:00,0.0013540533333333332,5.0973333333333335e-05
2016-01-07 12:00:00,2016-01-07 12:00:00,0.0006223466666666667,5.0973333333333335e-05
2016-01-07 13:00:00,2016-01-07 13:00:00,0.00146432,4.643333333333332e-05
2016-01-07 14:00:00,2016-01-07 14:00:00,0.0005926133333333333,4.643333333333332e-05
2016-01-07 15:00:00,2016-01-07 15:00:00,0.00014431999999999997,4.643333333333332e-05
2016-01-07 16:00:00,2016-01-07 16:00:00,1.5546666666666668e-05,7.084666666666666e-05
2016-01-07 17:00:00,2016-01-07 17:00:00,0.0,7.084666666666666e-05
2016-01-07 18:00:00,2016-01-07 18:00:00,0.0,7.084666666666666e-05
2016-01-07 19:00:00,2016-01-07 19:00:00,0.0,0.00012631333333333334
2016-01-07 20:00:00,2016-01-07 20:00:00,0.0,0.00012631333333333334
2016-01-07 21:00:00,2016-01-07 21:00:00,0.0,0.00012631333333333334
2016-01-07 22:00:00,2016-01-07 22:00:00,2.9333333333333337e-07,0.00012438
2016-01-07 23:00:00,2016-01-07 23:00:00,3.282666666666666e-05,0.00012438
2016-01-08 00:00:00,2016-01-08 00:00:00,0.0,0.00012438
2016-01-08 01:00:00,2016-01-08 01:00:00,0.0,5.812666666666666e-05
2016-01-08 02:00:00,2016-01-08 02:00:00,0.0,5.812666666666666e-05
2016-01-08 03:00:00,2016-01-08 03:00:00,0.0,5.812666666666666e-05
2016-01-08 04:00:00,2016-01-08 04:00:00,0.0,4.0306666666666665e-05
2016-01-08 05:00:00,2016-01-08 05:00:00,8.373333333333335e-06,4.0306666666666665e-05
2016-01-08 06:00:00,2016-01-08 06:00:00,0.0,4.0306666666666665e-05
2016-01-08 07:00:00,2016-01-08 07:00:00,0.0,2.9053333333333335e-05
2016-01-08 08:00:00,2016-01-08 08:00:00,0.0,2.9053333333333335e-05
2016-01-08 09:00:00,2016-01-08 09:00:00,0.0,2.9053333333333335e-05
2016-01-08 10:00:00,2016-01-08 10:00:00,0.0,2.452666666666667e-05
2016-01-08 11:00:00,2016-01-08 11:00:00,0.0,2.452666666666667e-05
2016-01-08 12:00:00,2016-01-08 12:00:00,0.0,2.452666666666667e-05
2016-01-08 13:00:00,2016-01-08 13:00:00,0.0,2.5280000000000005e-05
2016-01-08 14:00:00,2016-01-08 14:00:00,0.0,2.5280000000000005e-05
2016-01-08 15:00:00,2016-01-08 15:00:00,0.0,2.5280000000000005e-05
2016-01-08 16:00:00,2016-01-08 16:00:00,0.0,4.418666666666667e-05
2016-01-08 17:00:00,2016-01-08 17:00:00,0.0,4.418666666666667e-05
2016-01-08 18:00:00,2016-01-08 18:00:00,0.0,4.418666666666667e-05
