Date,Flow,validity
2015-10-12 17:00:00+00:00,5.7,1.0
2015-10-12 18:00:00+00:00,5.7,1.0
2015-10-12 19:00:00+00:00,5.7,1.0
2015-10-12 20:00:00+00:00,5.7,1.0
2015-10-12 21:00:00+00:00,5.7,1.0
2015-10-12 22:00:00+00:00,5.7,1.0
2015-10-12 23:00:00+00:00,5.7,1.0
2015-10-13 00:00:00+00:00,5.7,1.0
2015-10-13 01:00:00+00:00,5.74,1.0
2015-10-13 02:00:00+00:00,6.15,1.0
2015-10-13 03:00:00+00:00,8.0475,1.0
2015-10-13 04:00:00+00:00,9.32,1.0
2015-10-13 05:00:00+00:00,9.16,1.0
2015-10-13 06:00:00+00:00,8.465,1.0
2015-10-13 07:00:00+00:00,7.95,1.0
2015-10-13 08:00:00+00:00,7.55,1.0
2015-10-13 09:00:00+00:00,7.0024999999999995,1.0
2015-10-13 10:00:00+00:00,6.615,1.0
2015-10-13 11:00:00+00:00,6.4025,1.0
2015-10-13 12:00:00+00:00,6.1049999999999995,1.0
2015-10-13 13:00:00+00:00,6.02,1.0
2015-10-13 14:00:00+00:00,5.9799999999999995,1.0
2015-10-13 15:00:00+00:00,5.86,1.0
2015-10-13 16:00:00+00:00,5.86,1.0
2015-10-13 17:00:00+00:00,5.7,1.0
2015-10-13 18:00:00+00:00,5.7,1.0
2015-10-13 19:00:00+00:00,5.7,1.0
2015-10-13 20:00:00+00:00,5.7,1.0
2015-10-13 21:00:00+00:00,5.7,1.0
2015-10-13 22:00:00+00:00,5.7,1.0
2015-10-13 23:00:00+00:00,5.7,1.0
2015-10-14 00:00:00+00:00,5.7,1.0
2015-10-14 01:00:00+00:00,5.7,1.0
2015-10-14 02:00:00+00:00,5.58,1.0
2015-10-14 03:00:00+00:00,5.54,1.0
2015-10-14 04:00:00+00:00,5.66,1.0
2015-10-14 05:00:00+00:00,5.62,1.0
2015-10-14 06:00:00+00:00,5.54,1.0
2015-10-14 07:00:00+00:00,5.54,1.0
2015-10-14 08:00:00+00:00,5.54,1.0
2015-10-14 09:00:00+00:00,5.54,1.0
2015-10-14 10:00:00+00:00,5.58,1.0
2015-10-14 11:00:00+00:00,5.54,1.0
2015-10-14 12:00:00+00:00,5.5,1.0
2015-10-14 13:00:00+00:00,5.38,1.0
2015-10-14 14:00:00+00:00,5.38,1.0
2015-10-14 15:00:00+00:00,5.5,1.0
2015-10-14 16:00:00+00:00,5.42,1.0
2015-10-14 17:00:00+00:00,5.42,1.0
2015-10-14 18:00:00+00:00,5.38,1.0
2015-10-14 19:00:00+00:00,5.38,1.0
2015-10-14 20:00:00+00:00,5.38,1.0
2015-10-14 21:00:00+00:00,5.38,1.0
2015-10-14 22:00:00+00:00,5.325,1.0
2015-10-14 23:00:00+00:00,5.27,1.0
2015-10-15 00:00:00+00:00,5.297499999999999,1.0
2015-10-15 01:00:00+00:00,5.42,1.0
2015-10-15 02:00:00+00:00,5.58,1.0
2015-10-15 03:00:00+00:00,5.78,1.0
2015-10-15 04:00:00+00:00,6.02,1.0
2015-10-15 05:00:00+00:00,6.0625,1.0
2015-10-15 06:00:00+00:00,6.19,1.0
2015-10-15 07:00:00+00:00,6.19,1.0
2015-10-15 08:00:00+00:00,6.19,1.0
2015-10-15 09:00:00+00:00,6.19,1.0
2015-10-15 10:00:00+00:00,6.02,1.0
2015-10-15 11:00:00+00:00,5.9399999999999995,1.0
2015-10-15 12:00:00+00:00,5.82,1.0
2015-10-15 13:00:00+00:00,5.7,1.0
2015-10-15 14:00:00+00:00,5.7,1.0
2015-10-15 15:00:00+00:00,5.7,1.0
2015-10-15 16:00:00+00:00,5.7,1.0
2015-10-15 17:00:00+00:00,5.7,1.0
2015-10-15 18:00:00+00:00,5.7,1.0
2015-10-15 19:00:00+00:00,5.54,1.0
2015-10-15 20:00:00+00:00,5.54,1.0
2015-10-15 21:00:00+00:00,5.54,1.0
2015-10-15 22:00:00+00:00,5.54,1.0
